generated_at: 2026-08-02T15:49:29
mode: apply
date_from: 
date_to: 
selected_rows: 397318
candidates: 1315229
warnings: 1

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
-----------+----------+------------------------+------------+----------+--------------------------+------------------+--------------------+------------------+----------------------------------+-----------------------------
excluded   | 4707     | キタック               | 2015-04-20 | business | 建設コンサルタント事業   |                  |                    |      451,259,000 | GrossProfit                      | unsupported_segment_tag     
excluded   | 4707     | キタック               | 2015-04-20 | business | 不動産賃貸等事業         |                  |                    |       23,933,000 | GrossProfit                      | unsupported_segment_tag     
excluded   | 4707     | キタック               | 2016-04-20 | business | 建設コンサルタント事業   |                  |                    |      442,059,000 | GrossProfit                      | unsupported_segment_tag     
excluded   | 4707     | キタック               | 2016-04-20 | business | 不動産賃貸等事業         |                  |                    |       26,093,000 | GrossProfit                      | unsupported_segment_tag     
excluded   | 4707     | キタック               | 2015-04-20 | business | 建設コンサルタント事業   | NetSales         | total              |    1,462,471,000 | NetSales                         | period_end_mismatch         
excluded   | 4707     | キタック               | 2015-04-20 | business | 不動産賃貸等事業         | NetSales         | total              |       85,550,000 | NetSales                         | period_end_mismatch         
selected   | 4707     | キタック               | 2016-04-20 | business | 建設コンサルタント事業   | NetSales         | total              |    1,499,410,000 | NetSales                         | selected                    
selected   | 4707     | キタック               | 2016-04-20 | business | 不動産賃貸等事業         | NetSales         | total              |       86,880,000 | NetSales                         | selected                    
selected   | 4707     | キタック               | 2016-04-20 | business | 建設コンサルタント事業   | NetSales         | total              |    1,462,471,000 | NotesSegmentInformationEtcQuarterlyFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 4707     | キタック               | 2016-04-20 | business | 不動産賃貸等事業         | NetSales         | total              |       85,550,000 | NotesSegmentInformationEtcQuarterlyFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 4707     | キタック               | 2016-04-20 | total    | 合計                     | NetSales         | total              |    1,548,021,000 | NotesSegmentInformationEtcQuarterlyFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 4707     | キタック               | 2016-04-20 | business | 建設コンサルタント事業   | SegmentProfit    | segment_profit     |      451,259,000 | NotesSegmentInformationEtcQuarterlyFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 4707     | キタック               | 2016-04-20 | business | 不動産賃貸等事業         | SegmentProfit    | segment_profit     |       23,933,000 | NotesSegmentInformationEtcQuarterlyFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 4707     | キタック               | 2016-04-20 | total    | 合計                     | SegmentProfit    | segment_profit     |      475,192,000 | NotesSegmentInformationEtcQuarterlyFinancialStatementsTextBlock | selected_semantic_segment_note_table
excluded   | 4707     | キタック               | 2015-04-20 | business | 建設コンサルタント事業   | NetSales         | external           |    1,462,471,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
excluded   | 4707     | キタック               | 2015-04-20 | business | 不動産賃貸等事業         | NetSales         | external           |       85,550,000 | RevenuesFromExternalCustomers    | period_end_mismatch         
selected   | 4707     | キタック               | 2016-04-20 | business | 建設コンサルタント事業   | NetSales         | external           |    1,499,410,000 | RevenuesFromExternalCustomers    | selected                    
selected   | 4707     | キタック               | 2016-04-20 | business | 不動産賃貸等事業         | NetSales         | external           |       86,880,000 | RevenuesFromExternalCustomers    | selected                    
excluded   | 4707     | キタック               | 2015-04-20 | business | 建設コンサルタント事業   |                  |                    |             None | TransactionsWithOtherSegments    | unsupported_segment_tag     
excluded   | 4707     | キタック               | 2015-04-20 | business | 不動産賃貸等事業         |                  |                    |             None | TransactionsWithOtherSegments    | unsupported_segment_tag     
excluded   | 4707     | キタック               | 2016-04-20 | business | 建設コンサルタント事業   |                  |                    |             None | TransactionsWithOtherSegments    | unsupported_segment_tag     
excluded   | 4707     | キタック               | 2016-04-20 | business | 不動産賃貸等事業         |                  |                    |             None | TransactionsWithOtherSegments    | unsupported_segment_tag     
excluded   | 7279     | ハイレックスコーポレーション | 2015-04-30 | region   | 日本                     | NetSales         | total              |   27,307,000,000 | NetSales                         | period_end_mismatch         
excluded   | 7279     | ハイレックスコーポレーション | 2015-04-30 | region   | 北米                     | NetSales         | total              |   46,593,000,000 | NetSales                         | period_end_mismatch         
excluded   | 7279     | ハイレックスコーポレーション | 2015-04-30 | region   | 中国                     | NetSales         | total              |   24,715,000,000 | NetSales                         | period_end_mismatch         
excluded   | 7279     | ハイレックスコーポレーション | 2015-04-30 | region   | アジア                   | NetSales         | total              |   27,668,000,000 | NetSales                         | period_end_mismatch         
excluded   | 7279     | ハイレックスコーポレーション | 2015-04-30 | region   | 欧州                     | NetSales         | total              |    3,391,000,000 | NetSales                         | period_end_mismatch         
excluded   | 7279     | ハイレックスコーポレーション | 2015-04-30 | total    | 合計                     | NetSales         | total              |  129,676,000,000 | NetSales                         | period_end_mismatch         
selected   | 7279     | ハイレックスコーポレーション | 2016-04-30 | region   | 日本                     | NetSales         | total              |   26,725,000,000 | NetSales                         | selected                    
selected   | 7279     | ハイレックスコーポレーション | 2016-04-30 | region   | 北米                     | NetSales         | total              |   49,942,000,000 | NetSales                         | selected                    
selected   | 7279     | ハイレックスコーポレーション | 2016-04-30 | region   | 中国                     | NetSales         | total              |   26,957,000,000 | NetSales                         | selected                    
selected   | 7279     | ハイレックスコーポレーション | 2016-04-30 | region   | アジア                   | NetSales         | total              |   28,843,000,000 | NetSales                         | selected                    
selected   | 7279     | ハイレックスコーポレーション | 2016-04-30 | region   | 欧州                     | NetSales         | total              |    3,740,000,000 | NetSales                         | selected                    
selected   | 7279     | ハイレックスコーポレーション | 2016-04-30 | total    | 合計                     | NetSales         | total              |  136,209,000,000 | NetSales                         | selected                    
excluded   | 7279     | ハイレックスコーポレーション | 2016-04-30 | excluded |                          |                  |                    |             None | NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock | table_1:excluded_no_supported_metric
excluded   | 7279     | ハイレックスコーポレーション | 2016-04-30 | excluded |                          |                  |                    |             None | NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock | table_4:excluded_no_supported_metric
selected   | 7279     | ハイレックスコーポレーション | 2016-04-30 | business | 日本                     | NetSales         | total              |   23,501,000,000 | NotesSegmentInformationEtcQuarterlyConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
