generated_at: 2026-08-02T17:13:30
mode: apply
date_from: 
date_to: 
selected_rows: 23
candidates: 51
warnings: 0

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
-----------+----------+------------------------+------------+----------+--------------------------+------------------+--------------------+------------------+----------------------------------+-----------------------------
selected   | 9505     | 北陸電力               | 2021-03-31 | business | 電気事業                 | NetSales         | total              |  583,395,000,000 | FootnotesRegardingSegmentInformationTableTextBlock | selected_semantic_segment_note_table
selected   | 9505     | 北陸電力               | 2021-03-31 | business | その他                   | NetSales         | total              |   56,050,000,000 | FootnotesRegardingSegmentInformationTableTextBlock | selected_semantic_segment_note_table
selected   | 9505     | 北陸電力               | 2021-03-31 | total    | 合計                     | NetSales         | total              |  639,445,000,000 | FootnotesRegardingSegmentInformationTableTextBlock | selected_semantic_segment_note_table
selected   | 9505     | 北陸電力               | 2021-03-31 | business | 電気事業                 | SegmentProfit    | segment_profit     |    3,942,000,000 | FootnotesRegardingSegmentInformationTableTextBlock | selected_semantic_segment_note_table
selected   | 9505     | 北陸電力               | 2021-03-31 | business | その他                   | SegmentProfit    | segment_profit     |   10,622,000,000 | FootnotesRegardingSegmentInformationTableTextBlock | selected_semantic_segment_note_table
selected   | 9505     | 北陸電力               | 2021-03-31 | total    | 合計                     | SegmentProfit    | segment_profit     |   14,564,000,000 | FootnotesRegardingSegmentInformationTableTextBlock | selected_semantic_segment_note_table
excluded   | 9505     | 北陸電力               | 2020-03-31 | business | E04503-000Electricity    | NetSales         | total              |  570,832,000,000 | NetSales                         | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | business | その他                   | NetSales         | total              |  107,176,000,000 | NetSales                         | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | total    | 合計                     | NetSales         | total              |  678,009,000,000 | NetSales                         | period_end_mismatch         
excluded   | 9505     | 北陸電力               | 2020-03-31 | excluded | Reconciling Items        |                  |                    |  -49,970,000,000 | NetSales                         | excluded_adjustment_or_elimination_member
selected   | 9505     | 北陸電力               | 2021-03-31 | business | E04503-000Power Generation Sales | NetSales         | total              |  574,558,000,000 | NetSales                         | selected                    
selected   | 9505     | 北陸電力               | 2021-03-31 | business | E04503-000Transmission And Distribution | NetSales         | total              |  175,627,000,000 | NetSales                         | selected                    
