generated_at: 2026-08-02T17:00:29
mode: apply
date_from: 
date_to: 
selected_rows: 28146
candidates: 176989
warnings: 0

status     | code     | company                | period_end | kind     | segment                  | metric           | value_kind         | value            | source_tag                       | reason                      
-----------+----------+------------------------+------------+----------+--------------------------+------------------+--------------------+------------------+----------------------------------+-----------------------------
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | business | 肥後銀行                 | NetSales         | total              |   76,317,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | business | 鹿児島銀行               | NetSales         | total              |   37,583,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | business | 小 計                    | NetSales         | total              |  113,900,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | business | リース業                 | NetSales         | total              |   22,284,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | total    | 合計                     | NetSales         | total              |  136,185,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | business | その他                   | NetSales         | total              |    2,961,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | business | 肥後銀行                 | SegmentProfit    | segment_profit     |   21,420,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | business | 鹿児島銀行               | SegmentProfit    | segment_profit     |    8,582,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
selected   | 7180     | 九州フィナンシャルグループ | 2016-03-31 | business | 小 計                    | SegmentProfit    | segment_profit     |   30,002,000,000 | NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock | selected_semantic_segment_note_table
