doc_id	security_code	form_type	period_end	source_tags	existing_row_count	proposed_row_count	selected_candidate_count	excluded_candidate_count	review_row_count	excel_suppressed_segment_profit_count	status
S10075EH	49660	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	6	30	63	7	0	0	rebuild
S100781P	81310	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	26	60	5	0	0	rebuild
S1007AEZ	97430	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	26	54	1	0	0	rebuild
S1007AN2	79470	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	0	0	0	no_metrics
S1007BY2	31590	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	18	30	68	2	0	0	rebuild
S1007C8K	75900	030000	2016-01-20	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	18	35	73	7	1	0	rebuild
S1007CV3	81420	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	21	50	3	0	0	rebuild
S1007D32	78650	030000	2016-01-20	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	6	0	0	no_metrics
S1007DDP	48130	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	14	38	5	0	0	rebuild
S1007DMT	25900	030000	2016-01-20	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	42	2	0	0	rebuild
S1007DVK	64300	030000	2016-03-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	25	1	0	0	rebuild
S1007DXL	96920	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	44	3	0	0	rebuild
S1007E0I	43690	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	4	0	0	no_metrics
S1007E6K	69660	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	15	22	50	12	0	0	rebuild
S1007E8H	96360	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	9	13	26	0	0	0	rebuild
S1007E8K	17580	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	15	18	33	1	0	0	rebuild
S1007E9Y	21630	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007EK1	39550	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	52	4	0	0	rebuild
S1007ELK	43340	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	0	0	0	8	0	0	no_metrics
S1007ELR	66540	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	2	0	0	no_metrics
S1007EM9	14330	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	6	14	26	3	0	0	rebuild
S1007EN4	36570	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	22	50	7	0	0	rebuild
S1007EP3	22170	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	9	13	26	0	0	0	rebuild
S1007EPD	61840	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	4	0	0	no_metrics
S1007EZ1	68980	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	6	12	18	4	0	0	rebuild
S1007F0J	63360	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	20	36	7	0	0	rebuild
S1007F0Q	42870	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	10	21	46	0	0	0	rebuild
S1007F24	79560	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	21	39	78	11	1	0	rebuild
S1007F5Q	80130	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	9	14	36	2	0	0	rebuild
S1007F6S	27760	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	4	0	0	no_metrics
S1007F7T	76140	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	44	2	0	0	rebuild
S1007FDV	39310	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	17	32	4	0	0	rebuild
S1007FF1	96320	030000	2016-01-31	NotesSegmentInformationEtcConsolidatedFinancialStatementsTextBlock	12	18	43	2	0	0	rebuild
S1007FFE	39210	030000	2016-01-31	NotesSegmentInformationEtcFinancialStatementsTextBlock	0	0	0	4	0	0	no_metrics
