Date,Open,High,Low,Close,Volume
2005-03-22,597.732,597.732,592.173,594.943,782339
2005-03-23,592.173,597.732,591.24,592.173,1317569
2005-03-24,596.799,605.137,594.029,603.311,1176208
2005-03-25,608.85,612.553,606.061,610.696,1031608
2005-03-28,610.696,619.958,608.85,619.055,1168654
2005-03-29,622.757,622.757,602.338,603.311,1046716
2005-03-30,594.943,606.994,594.943,603.311,983049
2005-03-31,610.696,615.352,602.338,615.352,675513
2005-04-01,610.696,615.352,601.445,615.352,480196
2005-04-04,616.255,617.208,607.897,615.352,725147
2005-04-05,609.763,615.352,609.763,611.61,679825
2005-04-06,611.61,617.208,611.61,615.352,401421
2005-04-07,616.255,617.208,611.61,616.255,404660
2005-04-08,617.208,617.208,610.696,614.409,324805
2005-04-11,605.137,611.61,604.204,606.061,312935
2005-04-12,604.204,605.137,594.029,594.029,616158
2005-04-13,593.086,595.866,588.45,592.173,748890
2005-04-14,589.393,591.24,585.671,588.45,408974
2005-04-15,589.393,591.24,577.322,581.025,760758
2005-04-18,559.722,559.722,543.055,555.096,902121
2005-04-19,557.876,569.917,556.953,566.204,811477
2005-04-20,577.322,585.671,570.85,575.476,560048
2005-04-21,563.435,569.917,557.876,566.204,1026216
2005-04-22,575.476,581.025,568.994,577.322,470483
2005-04-25,578.266,581.025,574.563,574.563,291354
2005-04-26,578.266,579.189,574.563,577.322,309699
2005-04-27,569.917,580.122,569.917,580.122,269773
2005-04-28,574.563,582.881,571.763,582.881,426241
2005-05-02,583.844,583.844,578.266,582.881,164021
2005-05-06,579.189,588.45,579.189,588.45,255744
2005-05-09,582.881,587.527,577.322,586.604,472641
2005-05-10,586.604,593.086,585.671,593.086,451057
2005-05-11,586.604,591.24,581.988,586.604,494223
2005-05-12,586.604,586.604,576.419,576.419,544939
2005-05-13,567.157,579.189,567.157,576.419,530912
2005-05-16,576.419,576.419,562.512,562.512,708963
2005-05-17,561.588,565.291,550.47,552.317,903198
2005-05-18,556.029,563.435,555.096,558.799,591340
2005-05-19,561.588,569.917,561.588,569.917,528755
2005-05-20,574.563,591.24,567.157,586.604,1545256
2005-05-23,586.604,591.24,585.671,589.393,841690
2005-05-24,594.029,599.578,593.086,597.732,1247429
2005-05-25,602.338,606.994,586.604,591.24,1521516
2005-05-26,589.393,601.445,586.604,601.445,827662
2005-05-27,602.338,610.696,599.578,605.137,929097
2005-05-30,603.311,611.61,603.311,609.763,575154
2005-05-31,610.696,627.383,610.696,627.383,2493778
2005-06-01,624.614,630.153,621.814,628.306,1558205
2005-06-02,630.153,638.501,625.537,638.501,2173287
2005-06-03,639.424,655.198,632.009,655.198,2599528
2005-06-06,655.198,655.198,644.06,652.409,1094198
2005-06-07,647.763,654.255,645.907,654.255,696012
2005-06-08,648.706,655.198,648.706,655.198,1427637
2005-06-09,653.332,653.332,649.619,652.409,1038086
2005-06-10,652.409,657.035,649.619,654.255,1142758
2005-06-13,648.706,654.255,648.706,653.332,999237
2005-06-14,649.619,664.45,649.619,658.881,1832294
2005-06-15,664.45,673.731,662.604,672.788,2246667
2005-06-16,668.172,672.788,663.507,671.865,969021
2005-06-17,668.172,673.731,666.316,669.076,1108224
2005-06-20,669.076,670.932,660.747,665.363,1429795
2005-06-21,663.507,667.22,653.332,655.198,1547417
2005-06-22,656.101,663.507,656.101,659.824,1182685
2005-06-23,662.604,665.363,657.968,660.747,942046
2005-06-24,660.747,661.651,649.619,661.651,1177286
2005-06-27,658.881,662.604,654.255,654.255,631266
2005-06-28,653.332,658.881,653.332,658.881,596737
2005-06-29,659.824,662.604,655.198,659.824,653929
2005-06-30,665.363,666.316,660.747,661.651,1024054
2005-07-01,665.363,666.316,658.881,661.651,719753
2005-07-04,665.363,669.076,664.45,667.22,964705
2005-07-05,668.172,668.172,658.881,661.651,468326
2005-07-06,660.747,664.45,654.255,656.101,446742
2005-07-07,653.332,655.198,650.542,655.198,766153
2005-07-08,655.198,659.824,653.332,655.198,528755
2005-07-11,657.035,659.824,656.101,657.968,376602
2005-07-12,662.604,665.363,657.035,660.747,622637
2005-07-13,657.968,660.747,657.968,660.747,342073
2005-07-14,664.45,665.363,662.604,664.45,476958
2005-07-15,666.316,666.316,653.332,665.363,492065
2005-07-19,657.968,662.604,656.101,656.101,514726
2005-07-20,655.198,661.651,651.486,660.747,449982
2005-07-21,659.824,662.604,655.198,655.198,349626
2005-07-22,650.542,653.332,647.763,647.763,531993
2005-07-25,645.907,660.747,645.907,653.332,528755
2005-07-26,657.968,670.019,657.968,669.076,1458929
2005-07-27,673.731,686.676,673.731,682.973,1958548
2005-07-28,684.83,686.676,680.204,683.906,1136281
2005-07-29,685.783,699.67,685.783,695.948,2012503
2005-08-01,701.536,707.989,696.891,703.383,2174365
2005-08-02,707.086,707.086,695.024,696.891,1697408
2005-08-03,699.67,705.229,697.814,704.286,1193473
2005-08-04,706.142,706.142,697.814,703.383,1100671
2005-08-05,704.286,704.286,693.188,697.814,1224768
2005-08-08,693.188,702.43,682.06,697.814,1071539
2005-08-09,699.67,711.711,695.948,707.989,1276562
2005-08-10,712.645,716.357,709.855,715.404,1262536
2005-08-11,696.891,702.43,687.629,699.67,3143388
2005-08-12,699.67,699.67,672.788,679.281,2257457
2005-08-15,671.865,680.204,670.932,674.635,1560362
2005-08-16,675.588,685.783,672.788,685.783,1619716
2005-08-17,679.281,682.973,670.019,678.338,1690935
2005-08-18,685.783,687.629,673.731,675.588,1577629
2005-08-19,678.338,680.204,670.932,675.588,959312
2005-08-22,670.932,677.434,669.076,673.731,1072614
2005-08-23,675.588,678.338,673.731,675.588,1013264
2005-08-24,667.22,667.22,654.255,661.651,2244508
2005-08-25,658.881,661.651,657.035,657.968,1539861
2005-08-26,657.968,660.747,656.101,660.747,1095275
2005-08-29,660.747,660.747,653.332,655.198,719753
2005-08-30,660.747,663.507,658.881,660.747,690617
2005-08-31,657.968,657.968,648.706,649.619,1388788
2005-09-01,649.619,651.486,646.83,647.763,1563600
2005-09-02,648.706,648.706,640.377,645.907,2788369
2005-09-05,644.993,644.993,637.588,640.377,1157864
2005-09-06,639.424,639.424,634.799,638.501,1181604
2005-09-07,642.214,645.907,636.655,643.137,1219371
2005-09-08,644.993,645.907,639.424,639.424,876220
2005-09-09,648.706,650.542,642.214,649.619,1647771
