source=derived_metrics    | group=cashflow      | group_label=キャッシュフロー | metric=FCFCurrent                                                   | metric_label=FCF（当期）
source=derived_metrics    | group=cashflow      | group_label=キャッシュフロー | metric=FCFPerShareCurrent                                           | metric_label=1株FCF（当期）
source=derived_metrics    | group=cashflow      | group_label=キャッシュフロー | metric=FinancingCashPerShareCurrent                                 | metric_label=1株財務CF（当期）
source=derived_metrics    | group=cashflow      | group_label=キャッシュフロー | metric=InvestmentCashPerShareCurrent                                | metric_label=1株投資CF（当期）
source=derived_metrics    | group=cashflow      | group_label=キャッシュフロー | metric=OperatingCashPerShareCurrent                                 | metric_label=1株営業CF（当期）
source=derived_metrics    | group=growth        | group_label=成長             | metric=CashBalanceGrowthRateCurrent                                 | metric_label=現金残高成長率（当期）
source=derived_metrics    | group=growth        | group_label=成長             | metric=EPSGrowthRateCurrent                                         | metric_label=EPS増加率（当期）
source=derived_metrics    | group=growth        | group_label=成長             | metric=NetSalesGrowthRateCurrent                                    | metric_label=売上高成長率（当期）
source=derived_metrics    | group=growth        | group_label=成長             | metric=OrdinaryIncomeGrowthRateCurrent                              | metric_label=経常利益成長率（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=CostOfSalesAndSellingGeneralAndAdministrativeExpensesCurrent | metric_label=費用合計（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=CostOfSalesRatioCurrent                                      | metric_label=売上原価率（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=EstimatedNetIncomeCurrent                                    | metric_label=推定純利益(経常利益*0.7)（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=EstimatedNetMarginCurrent                                    | metric_label=純利益率（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=GrossProfitCurrent                                           | metric_label=売上総利益（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=GrossProfitMarginCurrent                                     | metric_label=売上総利益率（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=OperatingMarginCurrent                                       | metric_label=営業利益率（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=OrdinaryIncomeMarginCurrent                                  | metric_label=経常利益率（当期）
source=derived_metrics    | group=profitability | group_label=収益性           | metric=SellingExpensesRatioCurrent                                  | metric_label=販管費率（当期）
