generated_at: 2026-04-18T15:56:38
db_path: E:\EDINET_Data\edinet_monitor\db\edinet_monitor.db
period_mode: all
period_from: all
period_to: all
industry_33: all
security_codes: all
status_filter: FILING_MISSING
annual_gap_detection: on
rows: 1222
status_summary: FILING_MISSING=1222

証券コード | 会社名                                             | 業種                 | 期末日     | doc_id | 提出日 | filing | zip | 正規化 | 派生 | parse_status | 状況          
-----------+----------------------------------------------------+----------------------+------------+--------+--------+--------+-----+--------+------+--------------+---------------
1380       | 秋川牧園                                           | 水産・農林業         | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1384       | ホクリヨウ                                         | 水産・農林業         | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1384       | ホクリヨウ                                         | 水産・農林業         | 2017-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1418       | インターライフホールディングス                     | 建設業               | 2024-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1418       | インターライフホールディングス                     | 建設業               | 2020-02-28 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1436       | グリーンエナジー＆カンパニー                       | 建設業               | 2016-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1447       | ＳＡＡＦホールディングス                           | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1450       | ＴＡＮＡＫＥＮ                                     | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1491       | 中外鉱業                                           | 非鉄金属             | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1605       | ＩＮＰＥＸ                                         | 鉱業                 | 2018-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1605       | ＩＮＰＥＸ                                         | 鉱業                 | 2017-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1605       | ＩＮＰＥＸ                                         | 鉱業                 | 2016-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1711       | ＳＤＳホールディングス                             | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1724       | シンクレイヤ                                       | 建設業               | 2017-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1724       | シンクレイヤ                                       | 建設業               | 2016-12-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1780       | ヤマウラ                                           | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1780       | ヤマウラ                                           | 建設業               | 2017-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1787       | ナカボーテック                                     | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1802       | 大林組                                             | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1810       | 松井建設                                           | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1827       | ナカノフドー建設                                   | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1852       | 淺沼組                                             | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1867       | 植木組                                             | 建設業               | 2024-03-31 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1873       | 日本ハウスホールディングス                         | 建設業               | 2023-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1873       | 日本ハウスホールディングス                         | 建設業               | 2022-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1873       | 日本ハウスホールディングス                         | 建設業               | 2021-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1873       | 日本ハウスホールディングス                         | 建設業               | 2020-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
1873       | 日本ハウスホールディングス                         | 建設業               | 2019-04-30 |        |        | N      | N   |      0 |    0 |              | FILING_MISSING
